Frame,Time (Seconds),Rotation X,Rotation Y,Rotation Z,Rotation W,Position X,Position Y,Position Z,Error Per Marker
249,2.49,0.709436,0.281534,-0.57449,-0.295636,0.922204,1.711671,-0.378531,0.031995
250,2.5,0.65164,0.168976,-0.615695,-0.409551,0.911771,1.719269,-0.376017,0.024467
251,2.51,0.709413,0.281626,-0.574642,-0.295309,0.922243,1.711661,-0.378549,0.032011
252,2.52,0.734735,0.348188,-0.539435,-0.218952,0.928934,1.706787,-0.380147,0.032045
253,2.53,0.745644,0.386429,-0.51518,-0.171107,0.933098,1.703764,-0.381105,0.031995
254,2.54,0.702295,0.256666,-0.573299,-0.335011,0.914904,1.713963,-0.379082,0.02331
255,2.55,0.731555,0.330476,-0.542244,-0.248161,0.923966,1.708471,-0.380376,0.032053
256,2.56,0.671162,0.200143,-0.601197,-0.384768,0.912649,1.717354,-0.377107,0.024493
257,2.57,0.717222,0.297219,-0.563992,-0.281364,0.922583,1.710614,-0.379119,0.032034
258,2.58,0.737508,0.354768,-0.533721,-0.212987,0.928975,1.706268,-0.380399,0.032044
259,2.59,0.690742,0.232132,-0.581678,-0.361443,0.912258,1.715584,-0.378594,0.023273
260,2.6,0.726388,0.315647,-0.549502,-0.266036,0.92231,1.709527,-0.380041,0.032044
261,2.61,0.741904,0.365082,-0.524185,-0.203774,0.928748,1.705652,-0.381001,0.032033
262,2.62,0.694706,0.238951,-0.577153,-0.356624,0.9121,1.715274,-0.378947,0.023315
263,2.63,0.727928,0.318883,-0.546787,-0.263549,0.922178,1.709384,-0.380273,0.03205
264,2.64,0.742391,0.366185,-0.523113,-0.202774,0.928651,1.705611,-0.381114,0.032057
265,2.65,0.748684,0.393821,-0.507142,-0.164874,0.932713,1.703264,-0.381643,0.032011
266,2.66,0.751493,0.409696,-0.49716,-0.142263,0.935195,1.701836,-0.381912,0.032038
267,2.67,0.752861,0.418451,-0.491211,-0.129661,0.936615,1.701024,-0.382085,0.032048
